aa_dic_type,subtype,ssubtype,English,Karaoké,Thaï,Karaoké_meh
word,2,KR-EN,Where ,tîi-nai,ที่ไหน,tîi-nai
word,2,KR-EN,Why ,tam-mai,ทำไม,tam-mai
word,2,TH-EN,20,yi-sip,ยี่สิบ,yi-sip
word,2,TH-EN,Book ,nangsue,หนังสือ,nangsue
word,2,TH-EN,Fish sauce ,nam-plaa,น้ำปลา,nam-plaa
word,2,TH-EN,Food ,āhān,อาหาร,āhān
word,2,TH-EN,Hello ,s̄wạs̄dii,สวัสดี,s̄wạs̄dii
word,2,TH-EN,No ,mâi chai,ไม่ใช่,mâi chai
word,2,TH-EN,Thank you ,k̄hx p khun,ขอบคุณ,k̄hx p khun
word,2,TH-EN,They ,phûak khăo,พวกเขา ,phûak khăo
word,2,TH-EN,Vinegar ,nam-som,น้ำส้ม,nam-som
word,2,TH-EN,You pluriel,phûak tĕr,พวกเธอ ,phûak tĕr
word,3,KR-EN,Accountant ,nak-banchii,นักบัญชี,nak-banchii
word,3,KR-EN,Bicycle ,jak-ka-yan,จักรยาน,jak-ka-yan
word,3,KR-EN,Bus ,rót-doiy-săan,รถโดยสาร,rót-doiy-săan
word,3,KR-EN,Businessman ,nak-thuri-kit,นักธุรกิจ,nak-thuri-kit
word,3,TH-EN,Computer ,kxm-phiu-dtêu,คอมพิวเตอร์,kxm-phiu-dtêu
word,3,KR-EN,Engineer ,wit-sxw-khxn,วิศวกร,wit-sxw-khxn
word,3,TH-EN,Internet ,in-dtêu-net,อินเตอร์เน็ต,in-dtêu-net
word,3,KR-EN,Musician ,nak-dondtri,นักดนตรี,nak-dondtri
word,3,KR-EN,neither,mâi + verb + rǔe,ไม่  หรือ,mâi + verb + rǔe
word,3,KR-EN,Nurse ,phayabàan,พยาบาล,phayabàan
word,3,KR-EN,Plane ,khrueang-bin,เครื่องบิน,khrueang-bin
word,3,KR-EN,while,nai kà-nà-tîi,ในขณะที่,nai kà-nà-tîi
word,1,KR-EN,(not) yet,yang,ยัง,yang
word,1,KR-EN,already,Læ̂w,แล้ว,Læ̂w
word,1,KR-EN,bad,thom,โทม,thom
word,1,KR-EN,bird,Nk,นก,Nk
word,1,KR-EN,cat,Mæw,แมว,Mæw
word,1,KR-EN,cow,Wạw,วัว,Wạw
word,1,KR-EN,cut,phad,ปาด,phad
word,1,KR-EN,day,Wạn,วัน,Wạn
word,1,KR-EN,do not,Xỳā,อย่า,Xỳā
word,1,KR-EN,dog,H̄mā,หมา,H̄mā
word,1,KR-EN,elephant,Cĥāng,ช้าง,Cĥāng
word,1,KR-EN,ever,Khey,เคย,Khey
word,1,KR-EN,fat,X̂wn,อ้วน,X̂wn
word,1,KR-EN,good,Dī,ดี,Dī
word,1,KR-EN,horse,M̂ā,ม้า,M̂ā
word,1,KR-EN,human,Khn,คน,Khn
word,1,KR-EN,job,Ngān,งาน,Ngān
word,1,KR-EN,meat,Neụ̄̂x,เนื้อ,Neụ̄̂x
word,1,KR-EN,monkey,Ling,ลิง,Ling
word,1,KR-EN,some,Bāng,บาง,Bāng
word,1,KR-EN,to do,Thả,ทำ,Thả
word,1,KR-EN,to go,Pị,ไป,Pị
word,1,KR-EN,to read,X̀ān,อ่าน,X̀ān
word,1,KR-EN,to smell,Klìn,กลิ่น,Klìn
word,1,KR-EN,to speak,Phūd,พูด,Phūd
word,1,KR-EN,to write,K̄heīyn,เขียน,K̄heīyn
word,1,KR-EN,vegetable,P̄hạk,ผัก,P̄hạk
word,1,KR-EN,year,Pī,ปี,Pī
word,2,KR-EN,age,Xāyu,อายุ,Xāyu
word,2,KR-EN,all,Thậngh̄md,ทั้งหมด,Thậngh̄md
word,2,KR-EN,birthday,Wạn keid,วันเกิด,Wạn keid
word,2,KR-EN,dessert (1),K̄hnm,ขนม,K̄hnm
word,2,KR-EN,everyone,Thuk khn,ทุกคน,Thuk khn
word,2,KR-EN,everything,Thuk xỳāng,ทุกอย่าง,Thuk xỳāng
word,2,KR-EN,everywhere,Thuk thī̀,ทุกที่,Thuk thī̀
word,2,KR-EN,fruit,P̄hl mị̂,ผลไม้,P̄hl mị̂
word,2,KR-EN,gift,K̄hxngk̄hwạỵ,ของขวัญ,K̄hxngk̄hwạỵ
word,2,KR-EN,i did,C̄hạn thả,ฉันทำ,C̄hạn thả
word,2,KR-EN,i will,C̄hạn ca,ฉันจะ,C̄hạn ca
word,2,KR-EN,music,Dntrī,ดนตรี,Dntrī
word,2,KR-EN,never,Mị̀ khey,ไม่เคย,Mị̀ khey
word,2,KR-EN,potato,Mạnf̄rạ̀ng,มันฝรั่ง,Mạnf̄rạ̀ng
word,2,KR-EN,rabbit,Krat̀āy,กระต่าย,Krat̀āy
word,2,KR-EN,someone,Bāng khn,บางคน,Bāng khn
word,2,KR-EN,sometimes,Bāng khrậng,บางครั้ง,Bāng khrậng
word,2,KR-EN,spirit,Wiỵỵāṇ,วิญญาณ,Wiỵỵāṇ
word,2,KR-EN,to feel,Rū̂s̄ụk,รู้สึก,Rū̂s̄ụk
word,2,KR-EN,to listen,Pheụ̄̀x fạng,เพื่อฟัง,Pheụ̄̀x fạng
word,2,KR-EN,to touch,S̄ạmp̄hạs̄,สัมผัส,S̄ạmp̄hạs̄
word,2,KR-EN,to watch,phueu douu,เพื่อดู,Pheụ̄̀x dū
word,2,KR-EN,tomorrow,phroung niy,พรุ่งนี้,Phrùngnī̂
word,2,KR-EN,yesterday,meu waan,เมื่อวาน,Meụ̄̀x wān
word,3,KR-EN,cook,tham ahaan,ทำอาหาร,Thả xāh̄ār
word,3,KR-EN,dessert (2),khong waan,ของหวาน,K̄hxngh̄wān
word,3,KR-EN,i am 10 years old,chan ayu sip piy,ฉันอายุสิบปี,C̄hạn xāyu s̄ib pī
word,3,KR-EN,i come from,chan maa jaa(k),ฉันมาจาก,C̄hạn mā cāk
word,3,KR-EN,i live in,tchan asaï younaï,ฉันอาศัยอยู่ใน,C̄hạn xāṣ̄ạy xyū̀ nı
word,3,KR-EN,no one,maïmiy khraï,ไม่มีใคร,Mị̀mī khır
word,3,KR-EN,nothing,maïmiy araï,ไม่มีอะไร,Mị̀mī xarị
word,3,KR-EN,nowhere,maïmiy thinaï leuï,ไม่มีที่ไหนเลย,Mị̀mī thī̀h̄ịn ley
word,3,KR-EN,something,baang sing baang yaang,บางสิ่งบางอย่าง,Bāng s̄ìng bāng xỳāng
word,3,KR-EN,somewhere,thinaï sak hèng,ที่ไหนสักแห่ง,Thī̀h̄ịn s̄ạk h̄æ̀ng
word,3,KR-EN,to come,thi dja maa,ที่จะมา,Thī̀ ca mā
word,3,KR-EN,to give,thi dja haï,ที่จะให้,Thī̀ ca h̄ı̂
word,3,KR-EN,to have,phueu thi dja miy,เพื่อที่จะมี,Pheụ̄̀x thī̀ ca mī
word,3,KR-EN,to hear,thi dja daïyin,ที่จะได้ยิน,Thī̀ ca dị̂yin
word,3,KR-EN,to hit,thi dja dtiy,ที่จะตี,Thī̀ ca tī
word,3,KR-EN,to see,phueu thi dja daï hèn,เพื่อที่จะได้เห็น,Pheụ̄̀x thī̀ ca dị̂ h̄ĕn
word,3,KR-EN,to take,thi dja tchaï,ที่จะใช้,Thī̀ ca chı̂
word,3,KR-EN,to walk,thi dja deun,ที่จะเดิน,Thī̀ ca dein
word,3,KR-EN,too much,mak keunpaï,มากเกินไป,Māk keinpị
word,1,KR-EN,meaning,khwam maï,ความหมาย,Khwām h̄māy
word,1,KR-EN,this,ni,นี้,Nī̂
word,3,KR-EN,What does this mean ?,pae wa arai,a,a
